user_key,cluster_id,dominant_share_known,imputed_country_key,imputed_country_iso,imputed_country_name,imputed_market_currency_code,imputation_method
11638,1,0.1545,197,RU,Rusia,USD,cluster_majority
11640,1,0.1545,197,RU,Rusia,USD,cluster_majority
11645,1,0.1545,197,RU,Rusia,USD,cluster_majority
11650,1,0.1545,197,RU,Rusia,USD,cluster_majority
11656,1,0.1545,197,RU,Rusia,USD,cluster_majority
11657,1,0.1545,197,RU,Rusia,USD,cluster_majority
11659,0,0.0204,29,BR,Brasil,USD,cluster_majority
11660,1,0.1545,197,RU,Rusia,USD,cluster_majority
11662,1,0.1545,197,RU,Rusia,USD,cluster_majority
11664,1,0.1545,197,RU,Rusia,USD,cluster_majority
11665,1,0.1545,197,RU,Rusia,USD,cluster_majority
11668,1,0.1545,197,RU,Rusia,USD,cluster_majority
11669,1,0.1545,197,RU,Rusia,USD,cluster_majority
11672,1,0.1545,197,RU,Rusia,USD,cluster_majority
11673,1,0.1545,197,RU,Rusia,USD,cluster_majority
11674,1,0.1545,197,RU,Rusia,USD,cluster_majority
11679,1,0.1545,197,RU,Rusia,USD,cluster_majority
11680,1,0.1545,197,RU,Rusia,USD,cluster_majority
11684,1,0.1545,197,RU,Rusia,USD,cluster_majority
11688,1,0.1545,197,RU,Rusia,USD,cluster_majority
11689,1,0.1545,197,RU,Rusia,USD,cluster_majority
11692,1,0.1545,197,RU,Rusia,USD,cluster_majority
11697,1,0.1545,197,RU,Rusia,USD,cluster_majority
11701,1,0.1545,197,RU,Rusia,USD,cluster_majority
11703,1,0.1545,197,RU,Rusia,USD,cluster_majority
11706,1,0.1545,197,RU,Rusia,USD,cluster_majority
11707,1,0.1545,197,RU,Rusia,USD,cluster_majority
11708,1,0.1545,197,RU,Rusia,USD,cluster_majority
11711,1,0.1545,197,RU,Rusia,USD,cluster_majority
11717,1,0.1545,197,RU,Rusia,USD,cluster_majority
11724,1,0.1545,197,RU,Rusia,USD,cluster_majority
11727,1,0.1545,197,RU,Rusia,USD,cluster_majority
11728,0,0.0204,29,BR,Brasil,USD,cluster_majority
11737,1,0.1545,197,RU,Rusia,USD,cluster_majority
11738,1,0.1545,197,RU,Rusia,USD,cluster_majority
11746,1,0.1545,197,RU,Rusia,USD,cluster_majority
11747,1,0.1545,197,RU,Rusia,USD,cluster_majority
11749,1,0.1545,197,RU,Rusia,USD,cluster_majority
11754,1,0.1545,197,RU,Rusia,USD,cluster_majority
11760,1,0.1545,197,RU,Rusia,USD,cluster_majority
11767,1,0.1545,197,RU,Rusia,USD,cluster_majority
11775,1,0.1545,197,RU,Rusia,USD,cluster_majority
11779,1,0.1545,197,RU,Rusia,USD,cluster_majority
11784,1,0.1545,197,RU,Rusia,USD,cluster_majority
11795,1,0.1545,197,RU,Rusia,USD,cluster_majority
11796,1,0.1545,197,RU,Rusia,USD,cluster_majority
11798,1,0.1545,197,RU,Rusia,USD,cluster_majority
11800,1,0.1545,197,RU,Rusia,USD,cluster_majority
11801,1,0.1545,197,RU,Rusia,USD,cluster_majority
11804,1,0.1545,197,RU,Rusia,USD,cluster_majority
11809,1,0.1545,197,RU,Rusia,USD,cluster_majority
11820,1,0.1545,197,RU,Rusia,USD,cluster_majority
11834,1,0.1545,197,RU,Rusia,USD,cluster_majority
11835,1,0.1545,197,RU,Rusia,USD,cluster_majority
